user_id,problem_id,assistment_id,rt,rt_first,std_hint,bottom_hint,hint_per_sec,first_action,new_correct,attempt_count,Average_confidence(FRUSTRATED),Average_confidence(CONFUSED),Average_confidence(CONCENTRATING),Average_confidence(BORED)
92774,49686,32273,74.665,50.739,3.701544533,1,0.049575364,0,0,2,0.361323,0,0.766925,0.635574167
92774,49691,32278,53.033,53.03,-0.345262144,0,-0.006510326,0,1,1,0.361323,0.939394,0.766925,0.442968
92774,49713,32300,19.701,19.695,-0.177765035,0,-0.009023148,0,1,1,0.361323,0,0.766925,0.442968
92774,49721,32308,28.336,28.331,-0.316419308,0,-0.011166689,0,1,1,0.361323,0,0.766925,0.442968
92774,49732,32319,39.736,39.72,-0.314984111,0,-0.00792692,0,1,1,0.361323,0,0.766925,0.442968
92774,49739,32326,13.221,13.216,-0.333680241,0,-0.025238654,0,1,1,0.361323,0,0.766925,0
92774,51168,32979,10.146,10.142,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,51581,33236,4.663,4.66,-0.408543832,0,-0.087613946,0,1,1,0.361323,1,0.766925,0
92774,51585,33240,16.918,16.914,-0.324581313,0,-0.019185561,0,1,1,0.361323,0.96875,0.766925,0
92774,51593,33248,5.064,5.059,-0.438482903,0,-0.086588251,0,1,1,0.361323,0,0.766925,0
92774,51599,33254,4.958,4.954,-0.2395566,0,-0.048317184,0,1,1,0.361323,0,0.766925,0.22695
92774,51613,33268,28.581,9.142,-0.4985661,0,-0.01744397,0,0,2,0.361323,0,0.766925,0.3813445
92774,51615,33270,7.677,7.675,-0.125,0,-0.016282402,0,0,1,0.361323,0,0.766925,0.442968
92774,51616,33271,6.744,4.784,-0.134308613,0,-0.019915275,0,0,2,0.361323,0.4558825,0.766925,0.4615385
92774,51619,33274,7.006,7.003,-0.218083408,0,-0.031128091,0,1,1,0.361323,0,0.766925,0
92774,51628,33283,6.832,6.829,-0.303991306,0,-0.044495215,0,1,1,0.361323,0.911765,0.766925,0
92774,51629,33284,5.055,5.052,-0.32774892,0,-0.064836582,0,1,1,0.361323,0,0.766925,0
92774,51630,33285,16.204,7.018,2.444404407,1,0.150851914,0,0,2,0.361323,0,0.766925,0.221484
92774,51633,33288,12.355,12.342,-0.398545119,0,-0.0322578,0,1,1,0.361323,0,0.766925,0
92774,51637,33292,6.28,6.278,-0.356659828,0,-0.056792966,0,1,1,0.361323,0,0.766925,0
92774,51640,33295,6.112,6.101,-0.246867564,0,-0.040390636,0,1,1,0.361323,0,0.766925,0.442968
92774,52815,33690,5.665,5.66,-0.146655593,0,-0.025888013,0,1,1,0.361323,0,0.766925,0
92774,52945,33752,47.019,47.013,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,52954,33755,7.361,7.357,0,0,0,0,1,1,0.361323,0,0.766925,0.762689
92774,53280,34035,11.578,11.566,-0.124397587,0,-0.010744307,0,1,1,0.361323,0,0.766925,0.442968
92774,53290,34045,5.618,5.606,-0.101015254,0,-0.017980643,0,1,1,0.805195,0,0.766925,0
92774,53328,34083,6.503,6.491,-0.168645931,0,-0.025933559,0,1,1,0.361323,0.984127,0.766925,0
92774,53835,34410,14.175,14.172,-0.285282546,0,-0.020125753,0,1,1,0.361323,0,0.766925,0.442968
92774,53929,34504,28.644,28.641,-0.324764509,0,-0.011337959,0,1,1,0.361323,0,0.766925,0.442968
92774,53941,34516,105.155,105.153,-0.291202004,0,-0.002769264,0,1,1,0.361323,0,0.766925,0.442968
92774,54103,34588,4.174,4.171,-0.169030851,0,-0.040496131,0,0,1,0.361323,0,0.766925,0.442968
92774,54106,34591,10.883,10.879,-0.196116135,0,-0.018020411,0,1,1,0.361323,0,0.766925,0.22695
92774,54108,34593,25.714,25.703,-0.235793248,0,-0.009169839,0,1,1,0.361323,0,0.766925,0.22695
92774,54128,34613,14.501,14.499,-0.389906434,0,-0.026888245,0,0,1,0.361323,0,0.766925,0.22695
92774,54138,34623,6.327,6.325,-0.488717481,0,-0.077243161,0,0,1,0.361323,0,0.766925,0.442968
92774,55052,35276,13.084,13.081,0,0,0,0,1,1,0.361323,0,0.766925,0
92774,55061,35285,12.255,12.245,-0.223676708,0,-0.018251873,0,1,1,0.361323,0,0.766925,0.22695
92774,55075,35299,21.086,21.085,-0.409075542,0,-0.019400339,0,0,1,0.361323,0,0.766925,0.442968
92774,55090,35314,18.309,18.292,-0.174077656,0,-0.009507764,0,1,1,0.361323,0,0.766925,0.22695
92774,55092,35316,59.074,48.087,2.110500522,1,0.035726386,0,0,2,0.657237667,0,0.766925,0.127114833
92774,55093,35317,8.144,8.14,-0.270658113,0,-0.033234051,0,1,1,0.361323,0.939394,0.766925,0.952381
92774,55110,35334,20.586,20.583,-0.343762912,0,-0.016698869,0,0,1,0.361323,0,0.766925,0.442968
92774,55116,35340,17.796,17.78,-0.258323714,0,-0.01451583,0,1,1,0.361323,0,0.766925,0.22695
92774,58768,37182,18.483,18.479,-0.290511116,0,-0.015717747,0,1,1,0.361323,0,0.766925,0.442968
92774,58772,37186,33.983,33.98,-0.208560124,0,-0.00613719,0,1,1,0.361323,0,0.766925,0
92774,58775,37189,7.132,7.129,-0.232401099,0,-0.032585684,0,1,1,0.361323,0,0.766925,0
92774,58777,37191,16.378,16.369,-0.430087263,0,-0.02626006,0,1,1,0.361323,0,0.766925,0.173913
92774,66846,39856,1027251.531,30.549,0,0,0,0,0,1,0.361323,0,0.211268,0.762689
92774,71149,40671,47.948,47.935,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,71163,40674,20.106,20.081,0,0,0,0,1,1,0.361323,0,0.766925,0
92774,71181,40676,8.843,8.829,0,0,0,0,1,1,0.361323,0,0.766925,0.952381
92774,71400,40759,10.633,10.616,-0.232580238,0,-0.021873435,0,1,1,0.361323,0,0.766925,0.762689
92774,71407,40766,62.524,49.367,4.235879548,1,0.067748058,1,0,1,0.361323,0.2,0.766925,0.0885936
92774,71412,40771,18.443,7.686,2.807598386,1,0.152231111,0,0,3,0.361323,0,0.766925,0.253124571
92774,71413,40772,25.242,25.227,-0.37361762,0,-0.014801427,0,1,1,0.361323,0,0.766925,0
92774,71415,40774,8.055,8.047,-0.249251064,0,-0.030943645,0,1,1,0.361323,0,0.766925,0.442968
92774,71426,40785,12.889,12.88,-0.328105913,0,-0.025456274,0,1,1,0.361323,0,0.766925,0.762689
92774,75222,42300,8.297,8.295,0,0,0,0,1,1,0.361323,0,0.766925,0.762689
92774,75224,42302,6.985,6.983,-0.210870584,0,-0.03018906,0,1,1,0.361323,0,0.766925,0.762689
92774,75233,42311,12.506,12.497,-0.402639535,0,-0.032195709,0,1,1,0.361323,0,0.766925,0.762689
92774,75246,42324,5.592,5.591,-0.279933255,0,-0.050059595,0,1,1,0.361323,0,0.766925,0
92774,75255,42333,20.89,20.88,-0.25819889,0,-0.012359928,0,1,1,0.361323,0,0.766925,0.442968
92774,75285,42363,7.522,7.52,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,75289,42367,8.075,8.068,0,0,0,0,1,1,0.361323,0,0.766925,0.697987
92774,75300,42378,8.076,8.072,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,75302,42380,4.487,4.481,0,0,0,0,1,1,0.361323,0,0.766925,0.762689
92774,75446,42489,4.722,4.717,-0.229415734,0,-0.048584442,0,1,1,0.361323,0,0.766925,0.762689
92774,75453,42496,23.467,23.464,-0.288675135,0,-0.012301322,0,1,1,0.361323,0,0.766925,0.442968
92774,75457,42500,22.4,22.395,-0.287417285,0,-0.012831129,0,1,1,0.361323,0,0.766925,0.762689
92774,75469,42512,23.312,23.306,0,0,0,0,1,1,0.361323,0,0.766925,0.442968
92774,84595,46407,5.925,5.92,-0.290778614,0,-0.049076559,0,1,1,0.361323,0,0.766925,0.442968
92774,84596,46408,5.37,5.366,-0.292756036,0,-0.054516953,0,1,1,0.805195,0,0.766925,0
92774,84601,46413,46.72,46.705,-0.415835871,0,-0.008900597,0,1,1,0.361323,0,0.766925,0.442968
92774,84988,46700,5.823,5.806,-0.344646096,0,-0.059187033,0,1,1,0.805195,0,0.766925,0
92774,85691,47173,10.882,10.88,-0.168106644,0,-0.015448139,0,0,1,0.361323,0,0.766925,0.442968
92774,85696,47178,12.539,12.537,-0.169027716,0,-0.013480159,0,0,1,0.361323,0,0.766925,0.762689
92774,85700,47182,14.089,14.072,-0.242713118,0,-0.017227136,0,1,1,0.361323,0,0.766925,0.442968
92774,85708,47190,13.903,13.899,-0.191434572,0,-0.0137693,0,1,1,0.361323,0,0.766925,0.442968
