"ORLVOC","GENINF","NUMSER","CONFRM","VRBATN","NUMREV","LETPAT","PAIRCN","PHNPRO","NWDREP","STYREC","VAL","VISUAL","PICREC","age","gender"
36.7600714053479,29.6919136750716,28.0473004198635,30.8863133154166,43.188154903951,36.7387098040003,26.2077684819916,29.0743537666784,34.9612041276121,33.1116468517607,37.1633984022597,39.8910482607283,45.3871040100564,39.161701702961,"G 6-8","female"
48.3028662534887,52.3014695019364,25.083011535714,54.3494478084082,40.5426128081801,33.8550769670727,42.1416239674277,29.4798267162014,47.4368845375223,56.107036498514,51.9644050552352,49.3151211824685,52.8684950760995,56.1908179928892,"G 6-8","female"
31.004253172078,40.5292600734177,37.0697808228539,47.2582195638461,29.2128868132842,39.7973410681297,32.1233077439261,66.2633564248492,49.2347926987833,38.6908744501056,36.8880964511813,34.3767142405046,39.7821006380891,43.6882075971015,"G 6-8","female"
49.1607485674391,42.1957639005292,41.0870511067729,37.7074419515516,45.5552771773424,50.9690924572769,59.3866899441504,58.527214272426,54.824598081835,40.8021787106672,44.1551529633136,50.6516959822116,43.9023265005666,53.2991987640356,"G 6-8","female"
39.1519421171933,31.0500183833163,25.795204657143,36.8925850518319,18.388584877985,23.0263785461953,9.75862825119783,21.1834760661683,49.3785721745183,39.8925799547448,47.6531743011804,47.0714767733554,46.3261543698691,41.236827633448,"G 6-8","female"
30.007906992849,3.78162548020479,28.9297094975218,36.5847243287314,38.6203615084058,29.8065031752583,26.4650317565154,12.6444375182306,45.2147824831144,43.9438132467862,37.1301641235684,43.3123125490921,33.9207642586389,51.2745033201505,"G 6-8","female"
32.6086609482911,35.2494345909248,23.012504480979,28.6472404268328,31.9028211686834,39.4128671669651,40.2197784495367,6.29879800655113,39.8693412537113,34.9247629844895,38.866296182901,52.8908948751548,40.5200466227538,29.4802437537238,"G 6-8","female"
56.7920294299074,69.0719590895263,55.3490632428191,61.1008671489791,45.7510401072688,47.8888216570654,64.3087333780065,75.8804938902066,53.1058245505547,46.6371140061378,51.3463941051826,47.2668585328471,47.6875708329801,51.5718182167683,"G 6-8","female"
46.846463194288,35.2255855069867,45.2241740384792,46.1445282919695,45.7549802910059,37.7304160342758,58.1159220926891,60.6685927772662,42.4035098602335,50.7692224775223,49.0254732156807,51.3926167081744,53.640171254671,56.6524639791314,"G 6-8","male"
37.8737325523514,40.6810853820138,21.2363582620651,40.7282260001705,46.7934204852414,42.3950313493814,17.5681260868663,63.0050484295338,40.7723603574554,45.1882588208207,41.2054710305837,42.6262691497814,38.9675023152051,40.3048620177723,"G 6-8","female"
